iter	Passed	Remaining
0	288	144132
1	455	113532
2	642	106389
3	837	103837
4	1010	99991
5	1191	98124
6	1377	96998
7	1566	96356
8	1771	96658
9	1961	96123
10	2154	95768
11	2341	95240
12	2527	94685
13	2721	94480
14	2911	94146
15	3082	93258
16	3260	92627
17	3426	91747
18	3615	91527
19	3810	91443
20	4023	91779
21	4244	92211
22	4513	93603
23	4750	94218
24	4956	94168
25	5161	94093
26	5354	93807
27	5542	93439
28	5726	93007
29	5923	92804
30	6101	92311
31	6281	91870
32	6473	91612
33	6649	91140
34	6845	90941
35	7043	90778
36	7223	90390
37	7420	90217
38	7609	89951
39	7813	89853
40	8026	89854
41	8220	89638
42	8413	89417
43	8602	89152
44	8804	89026
45	9021	89034
46	9216	88829
47	9416	88676
48	9603	88388
49	9812	88313
50	9992	87969
51	10167	87600
52	10365	87419
53	10572	87317
54	10788	87291
55	10974	87009
56	11177	86872
57	11366	86619
58	11547	86309
59	11774	86349
60	11996	86337
61	12218	86317
62	12436	86266
63	12641	86117
64	12864	86090
65	13090	86078
66	13310	86022
67	13523	85916
68	13739	85820
69	13949	85690
70	14177	85665
71	14367	85406
72	14566	85203
73	14765	85003
74	14969	84826
75	15175	84664
76	15367	84421
77	15576	84272
78	15793	84165
79	16060	84318
80	16252	84070
81	16445	83830
82	16631	83559
83	16831	83354
84	17039	83192
85	17228	82938
86	17447	82823
87	17654	82657
88	17846	82413
89	18049	82226
90	18261	82077
91	18480	81954
92	18672	81718
93	18904	81653
94	19105	81449
95	19316	81289
96	19523	81111
97	19747	81005
98	19950	80809
99	20167	80671
100	20360	80434
101	20563	80239
102	20779	80090
103	20990	79925
104	21195	79737
105	21382	79478
106	21578	79255
107	21792	79097
108	21995	78902
109	22206	78732
110	22415	78554
111	22641	78436
112	22841	78225
113	23059	78079
114	23276	77926
115	23497	77786
116	23718	77641
117	23924	77449
118	24112	77199
119	24312	76989
120	24489	76707
121	24702	76536
122	24922	76387
123	25140	76232
124	25377	76131
125	25631	76079
126	25918	76122
127	26205	76160
128	26528	76296
129	26831	76366
130	27129	76418
131	27396	76377
132	27630	76242
133	27891	76181
134	28165	76151
135	28420	76065
136	28671	75969
137	28873	75740
138	29113	75610
139	29377	75543
140	29632	75446
141	29880	75333
142	30136	75235
143	30383	75114
144	30609	74941
145	30859	74824
146	31124	74740
147	31359	74585
148	31631	74514
149	31920	74480
150	32179	74374
151	32440	74272
152	32690	74142
153	32920	73965
154	33195	73885
155	33482	73833
156	33768	73775
157	34033	73666
158	34252	73459
159	34495	73302
160	34746	73161
161	34989	73002
162	35205	72785
163	35443	72615
164	35655	72390
165	35894	72221
166	36116	72017
167	36385	71904
168	36653	71789
169	36880	71591
170	37115	71408
171	37355	71235
172	37582	71036
173	37826	70870
174	38050	70665
175	38283	70476
176	38516	70286
177	38767	70130
178	38994	69929
179	39213	69713
180	39413	69464
181	39659	69295
182	39923	69157
183	40116	68896
184	40327	68665
185	40562	68476
186	40809	68307
187	41063	68147
188	41282	67930
189	41498	67707
190	41712	67482
191	41958	67308
192	42144	67038
193	42289	66704
194	42480	66443
195	42695	66221
196	42895	65976
197	43140	65800
198	43406	65654
199	43616	65424
200	43828	65196
201	44050	64985
202	44267	64765
203	44496	64563
204	44710	64339
205	44945	64145
206	45173	63940
207	45399	63734
208	45554	63427
209	45820	63276
210	46057	63083
