region,value
КРАСНОГВАРДЕЙСКИЙ,0.1176470588
КАЛТАСИНСКИЙ,0.0166666667
БАРЫШСКИЙ,0.0625
НИЖНЕТАВДИНСКИЙ,0.0909090909
ОХИНСКИЙ,0.0239808153
ВОЛГОГРАДСКАЯ,0.0115535383
САМБОРСКИЙ,0.0
ОЛЬХОВСКИЙ,0.125
ДЕМСКИЙ,0.0277777778
СОСЕНСКОЕ,0.014084507
ОРЕНБУРГСКАЯ,0.0181516063
САНКТ-ПЕТЕРБУРГ,0.0055162823
НЕНЕЦКИЙ,0.0204081633
ДАГЕСТАН,0.0003942773
СЕЛЕНГИНСКИЙ,0.0253164557
МЕЧЕТЛИНСКИЙ,0.0869565217
КАНАДА,0.0
КУРСКАЯ,0.0013275071
МОСКВА,0.0055336705
РЕСП,0.0
МАРИЙ,0.0015732265
СТЕРЛИТАМАКСКИЙ,0.0263157895
КОМИ,0.0226601841
БАШКОРТОСТАН,0.0103242794
МОЛОДЕЧНЕНСКИЙ,0.0
ПОХВИСТНЕВСКИЙ,0.0625
ТУЙМАЗИНСКИЙ,0.0191193511
ОРЛОВСКИЙ,0.3333333333
УКРАИНА,0.0
ГИАГИНСКИЙ,0.0
ДАВЛЕКАНОВСКИЙ,0.0206185567
УФИМСКИЙ,0.0141304348
ИСКИТИМСКИЙ,0.0
НАДВОРНЯНСКИЙ,0.1
КРАСНОПАХОРСКОЕ,0.1428571429
ФЕДОРОВСКИЙ,0.0
БЕССОНОВСКИЙ,0.0
ИСИЛЬКУЛЬСКИЙ,1.0
КОТЛАССКИЙ,0.0357142857
АЗНАКАЕВСКИЙ,0.0
КРАСНОДАРСКИЙ,0.0229534317
АЛТАЙ,0.0068965517
РУЗСКИЙ,0.0714285714
РЕЧИНСКИЙ,0.125
ГОМЕЛЬСКАЯ,0.03125
БАЙМАКСКИЙ,0.0
77,0.0
МУРМАНСКАЯ,0.0071888713
САМАРСКАЯ,0.0130067352
2,0.0
ЗЛЫНКОВСКИЙ,0.0555555556
КЕМЕРОВСКАЯ,0.0052700922
МОГИЛЕВСКАЯ,0.0
МОСКОВСКАЯ,0.0125087727
АРХАНГЕЛЬСКАЯ,0.0194145027
СЫКТЫВДИНСКИЙ,0.0
ТАРСКИЙ,0.3333333333
КУРГАНСКАЯ,0.0189693801
ЛЕНИНСКИЙ,0.1111111111
МОСКОВСКИЙ,0.0
НОГЛИКСКИЙ,0.0317460317
КАЛУЖСКАЯ,0.0076923077
МИШКИНСКИЙ,0.0
П.ВНУКОВСКОЕ,0.2
НЕФТЕЮГАНСКИЙ,0.0203045685
РОССОШАНСКИЙ,0.1666666667
АСТРАХАНСКАЯ,0.0011518696
ТАМБОВСКАЯ,0.0258231595
"КАЗАХСТАН,",0.0
АБЗЕЛИЛОВСКИЙ,0.0
ТОМСКАЯ,0.0260517352
ОРШАНСКИЙ,0.04
БЕЛОКАТАЙСКИЙ,0.0
НУРИМАНОВСКИЙ,0.0352941176
БЛАГОВАРСКИЙ,0.1666666667
ПРОХЛАДНЕНСКИЙ,0.0
ТАТАРСТАН,0.0198706643
КАЗАХСТАН,0.0277777778
НОВГОРОДСКАЯ,0.0128688981
ИГРИНСКИЙ,0.2
ИШИМБАЙСКИЙ,0.0216763006
КАРАЧАЕВСКИЙ,0.0
ИШИМБАЙИСКИЙ,0.0
СВЕТЛОГОРСКИЙ,0.0384615385
КРАСНОСЕЛЬСКИЙ,0.0769230769
Г,0.0
КУШНАРЕВСКИЙ,0.0
МАГАДАНСКАЯ,0.0006793478
САРАТОВСКАЯ,0.0144983756
БЕЛАРУСЬ,0.009596929
БЕЛЕБЕЕВСКИЙ,0.0383561644
