quarter,rubles
2023Q1,72.58
2022Q4,62.59
2022Q3,59.58
2022Q2,66.23
2022Q1,85.74
2021Q4,72.63
2021Q3,73.46
2021Q2,74.25
2021Q1,74.36
2020Q4,76.23
2020Q3,73.60
2020Q2,72.15
2020Q1,66.50
2019Q4,63.72
2019Q3,64.56
2019Q2,64.55
2019Q1,66.11
2018Q4,66.47
2018Q3,65.54
2018Q2,61.78
2018Q1,56.87
2017Q4,58.41
2017Q3,59.0
2017Q2,57.13
2017Q1,58.81
2016Q4,63.07
2016Q3,64.61
2016Q2,65.88
2016Q1,74.64
2015Q4,65.91
2015Q3,62.99
2015Q2,52.64
2015Q1,62.18
2014Q4,47.34
2014Q3,36.20
2014Q2,34.99
2014Q1,34.96
2013Q4,32.53
2013Q3,32.79
2013Q2,31.61
2013Q1,30.40
2012Q4,31.08
2012Q3,32.02
2012Q2,29.99
2012Q1,30.26
2011Q4,31.22
2011Q3,29.05
2011Q2,27.98
2011Q1,29.26
2010Q4,30.71
2010Q3,30.62
2010Q2,30.23
2010Q1,29.89
2009Q4,29.46
2009Q3,31.31
2009Q2,32.21
2009Q1,33.96
2008Q4,27.26
2008Q3,24.25
2008Q2,23.62
2008Q1,24.26
2007Q4,24.64
2007Q3,25.50
2007Q2,25.86
2007Q1,26.30
2006Q4,26.58
2006Q3,26.80
2006Q2,27.20
2006Q1,28.16
2005Q4,28.70
2005Q3,28.50
2005Q2,28.08
2005Q1,27.84
2004Q4,28.52
2004Q3,29.17
2004Q2,28.89
2004Q1,28.65
2003Q4,29.80
2003Q3,30.43
2003Q2,30.87
2003Q1,31.65
2002Q4,31.77
2002Q3,31.56
2002Q2,31.27
2002Q1,30.77
2001Q4,29.80
2001Q3,29.33
2001Q2,28.99
2001Q1,28.54
2000Q4,27.88
2000Q3,27.79
2000Q2,28.38
2000Q1,28.45
1999Q4,26.27
1999Q3,24.82
1999Q2,24.49
1999Q1,22.88
1998Q4,17.46
1998Q3,9.163
1998Q2,6.150
1998Q1,6.044
1997Q4,5.906
1997Q3,5.814
1997Q2,5.765
1997Q1,5.653
1996Q4,5.483
1996Q3,5.265
1996Q2,4.977
1996Q1,4.757
1995Q4,4.551
1995Q3,4.470
1995Q2,4.948
1995Q1,4.436
1994Q4,3.071
1994Q3,2.538
1994Q2,2.121
1994Q1,1.834
1993Q4,1.225
1993Q3,1.079
1993Q2,1.001
